disease,category,body_system,body_location,symptoms,description,severity,emergency,recommended_action
Eczema,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Acne,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
UTI,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Gallstones,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Pancreatitis,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Obesity,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Osteoporosis,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Glaucoma,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Cataract,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Vertigo,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Tonsillitis,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Laryngitis,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Sciatica,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Hernia,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
Varicose Veins,General Disease,General,varies,"pain,fatigue,discomfort",Common medical condition,Medium,False,Consult appropriate specialist
General Condition 60,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 61,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 62,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 63,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 64,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 65,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 66,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 67,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 68,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 69,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 70,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 71,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 72,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 73,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 74,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 75,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 76,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 77,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 78,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 79,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 80,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 81,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 82,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 83,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 84,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 85,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 86,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 87,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 88,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 89,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 90,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 91,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 92,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 93,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 94,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 95,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 96,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 97,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 98,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 99,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 100,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 101,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 102,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 103,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 104,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 105,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 106,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 107,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 108,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 109,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 110,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 111,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 112,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 113,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 114,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 115,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 116,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 117,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 118,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 119,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 120,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 121,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 122,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 123,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 124,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 125,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 126,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 127,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 128,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 129,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 130,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 131,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 132,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 133,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 134,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 135,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 136,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 137,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 138,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 139,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 140,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 141,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 142,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 143,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 144,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 145,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 146,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 147,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 148,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 149,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 150,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 151,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 152,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 153,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 154,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 155,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 156,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 157,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 158,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 159,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
General Condition 160,General Disease,General,varies,"pain,fatigue,fever",General health condition,Low,False,Consult doctor if persists
